timestamp_ms,cpu_ms_per_sec,memory_bytes
1755335931,0,9101312
1755335932,160,16576512
1755335933,110,20090880
1755335934,140,23457792
1755335935,140,27074560
1755335936,190,30703616
1755335937,180,34361344
1755335938,190,41545728
1755335939,220,45416448
1755335940,240,49217536
1755335941,230,54259712
1755335943,230,59273216
1755335944,300,65519616
1755335945,260,65118208
1755335946,250,67366912
1755335947,300,69136384
1755335948,330,70418432
1755335949,300,71577600
1755335950,400,79953920
1755335951,400,81633280
1755335952,350,83128320
1755335953,400,84443136
1755335954,430,85757952
1755335955,440,86904832
1755335956,440,88399872
1755335957,460,89645056
1755335958,500,90746880
1755335959,500,91860992
1755335960,560,92991488
1755335961,550,93970432
1755335962,480,79646720
