timestamp_ms,active_number_of_queries,failed_number_of_queries,number_of_queries_processed,average_query_time_us,cpu_milliseconds,memory_bytes
1755438013212,0,0,83,380165.75,160.00,15581184
1755438014212,0,0,416,183497.51,140.00,18845696
1755438015212,0,0,749,147228.23,190.00,23044096
1755438016211,41,0,1043,134076.18,230.00,28684288
1755438017212,0,0,1456,149857.44,260.00,31715328
1755438018211,2,0,1747,145738.38,280.00,38662144
1755438019212,0,0,2085,126619.36,280.00,39714816
1755438020212,50,0,2366,125776.25,320.00,47255552
1755438021212,269,0,2530,167319.28,340.00,54988800
1755438022212,0,0,3352,183685.16,420.00,57810944
1755438023213,0,0,3416,121267.50,360.00,59252736
1755438024212,0,0,3749,131354.88,410.00,62398464
1755438025212,0,0,4083,130613.13,430.00,66134016
1755438026213,0,0,4416,131765.37,480.00,67645440
1755438027212,0,0,4749,137347.13,540.00,69271552
1755438028212,0,0,5083,143275.95,560.00,70778880
1755438029212,0,0,5416,148857.53,590.00,71999488
1755438030212,0,0,5749,153976.75,600.00,73064448
1755438031212,0,0,6083,158173.38,670.00,73625600
1755438032212,0,0,6416,162749.95,660.00,74526720
1755438033212,0,0,6749,168004.32,700.00,74911744
1755438034213,0,0,7083,172111.50,740.00,75276288
1755438035212,0,0,7416,180946.73,780.00,75567104
1755438036212,0,0,7749,184564.85,790.00,75825152
1755438037212,0,0,8083,190269.46,840.00,76718080
1755438038212,0,0,8416,196769.42,870.00,76726272
1755438039212,0,0,8749,202914.92,930.00,76836864
1755438040212,0,0,9083,211780.16,970.00,77176832
1755438041212,9,0,9407,228238.66,990.00,92237824
1755438042211,40,0,9718,246881.08,970.00,91435008
1755438043212,0,0,40,509452.58,50.00,69517312
