timestamp_ms,active_number_of_queries,number_of_queries_processed,average_query_time_us
1755254496587,0,150,711.1333333333333
1755254498587,0,579,543.2849740932643
1755254500587,1,827,493.24425634824667
1755254502587,0,1002,464.53592814371257
1755254504587,1,1114,461.0233393177738
1755254506588,0,1225,449.1861224489796
1755254508587,1,1272,458.2877358490566
1755254510588,0,1337,461.40089753178756
1755254512587,1,1373,466.12454479242535
1755254514587,0,1426,469.69565217391306
1755254516587,1,1492,471.94839142091155
1755254518587,1,1539,472.17608836907084
1755254520588,0,1603,469.77542108546476
1755254522587,1,1638,475.007326007326
1755254524587,0,1654,462.8621523579202
1755254526587,1,1713,475.39112667834206
1755254528587,1,1737,481.2705814622913
1755254530587,1,1771,480.76792772444946
1755254532587,1,1781,480.8236945536216
1755254534588,0,1830,483.8327868852459
1755254536587,1,1838,484.4733405875952
1755254538587,1,1846,487.9978331527627
1755254540588,0,1871,488.9048637092464
1755254542587,1,1887,486.54848966613673
1755254544587,1,1889,486.4129168872419
1755254546587,1,1882,491.86078639744954
1755254548587,1,1907,491.85369690613527
1755254550588,0,1922,488.45525494276797
1755254552587,1,1929,491.7433903576983
1755254554587,1,1930,496.599481865285
