timestamp_ms,active_number_of_queries,number_of_queries_processed,average_query_time_us
1755267128516,49,71,396539.5070422535
1755267130517,70,385,311851.6987012987
1755267132517,206,446,360713.19730941707
1755267134517,576,358,989013.1229050279
1755267136516,1123,292,1979067.5787671234
1755267138516,1687,353,2983991.059490085
1755267140516,2219,474,4227646.675105485
1755267142516,2525,771,4962992.540856031
1755267144517,3159,506,5415481.314229249
1755267146517,3766,582,6257306.383161512
1755267148517,4275,716,7057803.062849162
1755267150516,4944,599,7751073.517529216
1755267152516,5470,793,8405392.266078183
1755267154516,6146,656,9566345.967987806
1755267156516,6619,883,9939451.09173273
1755267158517,7081,936,10447489.478632478
1755267160517,7513,975,10800335.065641025
1755267162517,8387,569,11606116.311072057
1755267164516,9091,751,12815154.952063914
1755267166517,10101,469,13672682.021321962
1755267168517,10987,595,15001056.684033614
1755267170517,11719,808,15823965.487623762
1755267172517,12435,823,16711033.931956258
1755267174516,13271,694,17356573.363112394
1755267176516,14130,689,18671388.15820029
1755267178517,15155,515,19617540.442718446
1755267180517,15990,709,20868911.78138223
1755267182516,17150,396,21997250.555555556
1755267184516,18124,601,23082855.780366056
1755267186516,18937,767,24515969.32464146
