timestamp_ms,active_number_of_queries,failed_number_of_queries,number_of_queries_processed,average_query_time_us,cpu_milliseconds,memory_bytes
1755437963800,8,0,75,357619.23,160.00,9502720
1755437964801,6,0,418,222597.43,150.00,16318464
1755437965800,28,0,727,171930.38,160.00,22347776
1755437966800,7,0,1104,225368.60,170.00,26583040
1755437967801,6,0,1417,207390.00,180.00,28585984
1755437968801,6,0,1749,210601.50,210.00,32309248
1755437969800,7,0,2082,226580.98,250.00,34672640
1755437970801,14,0,2409,244725.31,290.00,34164736
1755437971800,14,0,2749,263596.49,340.00,39424000
1755437972800,19,0,3078,274411.08,360.00,41680896
1755437973801,49,0,3386,288128.05,400.00,43634688
1755437974801,44,0,3754,288937.14,440.00,45469696
1755437975800,122,0,4005,290252.12,420.00,47435776
1755437976800,272,0,4266,290617.69,480.00,49926144
1755437977800,446,0,4575,299551.77,500.00,52940800
1755437978800,770,0,4759,339529.84,450.00,58183680
1755437979800,1432,0,4754,434580.88,400.00,65523712
1755437980800,2476,0,4705,595270.34,410.00,76009472
1755437981800,3873,0,4686,760968.81,410.00,90689536
1755437982800,5543,0,4746,987241.82,410.00,108515328
1755437983800,7589,0,4703,1240444.58,430.00,129355776
1755437984800,9936,0,4736,1524670.57,420.00,153866240
1755437985801,12641,0,4711,1797766.72,430.00,181784576
1755437986800,15666,0,4724,2171183.69,430.00,214028288
1755437987800,19005,0,4744,2483522.93,430.00,248246272
1755437988800,22670,0,4751,2828434.43,430.00,285863936
1755437989800,26701,0,4718,3232593.60,440.00,328200192
1755437990800,31045,0,4739,3646993.44,450.00,373288960
1755437991800,35782,0,4679,4067124.29,440.00,422178816
1755437992800,40754,0,4777,4452627.67,440.00,474083328
1755437993800,36041,0,4713,4892636.91,380.00,474083328
1755437994800,31292,0,4749,5347261.85,360.00,474345472
1755437995800,26613,0,4679,5817484.38,370.00,474476544
1755437996800,21920,0,4693,6297251.84,370.00,474476544
1755437997800,17234,0,4686,6785307.91,360.00,474476544
1755437998800,12505,0,4729,7281801.81,370.00,474607616
1755437999801,7778,0,4727,7780590.25,370.00,474738688
1755438000800,3037,0,4741,8293586.98,360.00,474738688
1755438001801,1,0,3036,8807908.52,230.00,472219648
1755438002801,0,0,1,9574329.00,40.00,28479488
