timestamp_ms,active_number_of_queries,number_of_queries_processed,average_query_time_us
1755252245243,1,149,587.0134228187919
1755252247243,0,586,438.80887372013655
1755252249243,0,841,406.4589774078478
1755252251243,1,1028,384.8219844357977
1755252253244,0,1139,375.5654082528534
1755252255244,0,1153,354.30702515177796
1755252257243,1,1267,360.5090765588003
1755252259244,0,1341,364.8434004474273
1755252261244,0,1391,366.9079798705967
1755252263244,0,1378,357.5130624092888
1755252265244,0,1434,365.80962343096235
1755252267243,0,1420,356.6640845070423
1755252269244,0,1449,360.27329192546586
1755252271244,0,1408,357.234375
1755252273244,0,1425,357.97263157894736
1755252275244,0,1445,360.77370242214533
1755252277243,0,1476,361.3434959349593
1755252279244,0,1492,367.1300268096515
1755252281243,0,1457,361.0624571036376
1755252283243,0,1443,354.8967428967429
1755252285243,1,1459,364.41535298149415
1755252287244,0,1451,362.578911095796
1755252289244,0,1488,365.74059139784947
1755252291244,0,1512,361.1858465608466
1755252293244,0,1463,364.622009569378
1755252295244,0,1484,363.87398921832886
1755252297243,0,1493,360.28801071667783
1755252299244,0,1469,363.0299523485364
1755252301244,0,1517,368.6987475280158
1755252303243,1,1513,365.26834104428286
