timestamp,CPU_usec,Mem_used_bytes
1755335969,202735101,259354624
1755335970,202868844,219119616
1755335971,203079045,223416320
1755335972,203273518,227635200
1755335973,203365696,226721792
1755335974,203486127,226385920
1755335975,203615982,218337280
1755335976,203776189,213843968
1755335977,203959143,193794048
1755335978,204164937,188645376
1755335979,204387877,186978304
1755335980,204653394,186765312
1755335981,204940486,186658816
1755335982,205245274,186499072
1755335983,205569995,186544128
1755335984,205922591,186380288
1755335985,206277002,186384384
1755335986,206674893,186404864
1755335987,207087598,186552320
1755335988,207550659,188248064
1755335989,208021750,187961344
1755335990,208472174,188223488
1755335991,208929736,188215296
1755335992,209404160,188211200
1755335993,209875061,188190720
1755335994,210340043,188194816
1755335995,210808923,188198912
1755335996,211252380,187940864
1755335997,211699636,188194816
1755335998,212141410,188190720
1755335999,212577694,188452864
1755336000,213019672,188448768
1755336001,213267300,184811520
1755336002,213267300,184762368
